date,pollster,n,party,value
2025-10-10,Verian,1478,AfD,0.25
2025-10-11,INSA,1224,CDUCSU,0.24
2025-10-11,INSA,1224,AfD,0.26
2025-10-14,Forsa,2500,CDUCSU,0.24
2025-10-14,Forsa,2500,AfD,0.26
2025-10-14,INSA,2008,CDUCSU,0.25
2025-10-14,INSA,2008,AfD,0.265
2025-10-15,YouGov,1880,CDUCSU,0.27
2025-10-15,YouGov,1880,AfD,0.26
2025-10-17,Allensbach,1044,CDUCSU,0.26
2025-10-17,Allensbach,1044,AfD,0.25
2025-10-18,INSA,1200,CDUCSU,0.25
2025-10-18,INSA,1200,AfD,0.27
2025-10-20,INSA,2006,CDUCSU,0.245
2025-10-20,INSA,2006,AfD,0.27
2025-10-21,Forsa,2505,CDUCSU,0.24
2025-10-21,Forsa,2505,AfD,0.26
2025-10-24,Forschungsgruppe Wahlen,1272,CDUCSU,0.27
2025-10-24,Forschungsgruppe Wahlen,1272,AfD,0.25
2025-10-24,INSA,1205,CDUCSU,0.24
2025-10-24,INSA,1205,AfD,0.26
2025-10-27,INSA,2004,CDUCSU,0.245
2025-10-27,INSA,2004,AfD,0.26
2025-10-28,Forsa,2502,CDUCSU,0.25
2025-10-28,Forsa,2502,AfD,0.26
2025-11-01,INSA,1202,CDUCSU,0.25
2025-11-01,INSA,1202,AfD,0.26
2025-11-03,INSA,2002,CDUCSU,0.255
2025-11-03,INSA,2002,AfD,0.255
2025-11-04,Forsa,2500,CDUCSU,0.24
2025-11-04,Forsa,2500,AfD,0.26
2025-11-06,Infratest dimap,1300,CDUCSU,0.27
2025-11-06,Infratest dimap,1300,AfD,0.26
2025-11-07,Verian,1471,CDUCSU,0.26
2025-11-07,Verian,1471,AfD,0.25
2025-11-07,Forschungsgruppe Wahlen,1322,CDUCSU,0.26
2025-11-07,Forschungsgruppe Wahlen,1322,AfD,0.26
2025-11-08,INSA,1205,CDUCSU,0.25
2025-11-08,INSA,1205,AfD,0.26
2025-11-11,Forsa,2503,CDUCSU,0.24
2025-11-11,Forsa,2503,AfD,0.26
2025-11-11,INSA,2010,CDUCSU,0.25
2025-11-11,INSA,2010,AfD,0.26
2025-11-14,Allensbach,1011,CDUCSU,0.27
2025-11-14,Allensbach,1011,AfD,0.24
2025-11-15,INSA,1203,CDUCSU,0.25
2025-11-15,INSA,1203,AfD,0.26
2025-11-17,GMS,1020,CDUCSU,0.25
2025-11-17,GMS,1020,AfD,0.26
2025-11-17,INSA,2006,CDUCSU,0.245
2025-11-17,INSA,2006,AfD,0.26
2025-11-18,Forsa,2502,CDUCSU,0.25
2025-11-18,Forsa,2502,AfD,0.26
2025-11-19,YouGov,2005,CDUCSU,0.27
2025-11-19,YouGov,2005,AfD,0.25
2025-11-21,Forschungsgruppe Wahlen,1207,CDUCSU,0.27
2025-11-21,Forschungsgruppe Wahlen,1207,AfD,0.27
2025-11-22,INSA,1208,CDUCSU,0.25
2025-11-22,INSA,1208,AfD,0.26
2025-11-24,INSA,2008,CDUCSU,0.255
2025-11-24,INSA,2008,AfD,0.26
2025-11-25,Forsa,2501,CDUCSU,0.25
2025-11-25,Forsa,2501,AfD,0.26
2025-11-28,INSA,1198,CDUCSU,0.25
2025-11-28,INSA,1198,AfD,0.27
2025-12-02,Forsa,2501,CDUCSU,0.25
2025-12-02,Forsa,2501,AfD,0.26
2025-12-02,INSA,2002,CDUCSU,0.245
2025-12-02,INSA,2002,AfD,0.27
2025-12-04,Infratest dimap,1306,CDUCSU,0.27
2025-12-04,Infratest dimap,1306,AfD,0.25
2025-12-06,INSA,1206,CDUCSU,0.25
2025-12-06,INSA,1206,AfD,0.26
2025-12-09,Forsa,2503,CDUCSU,0.24
2025-12-09,Forsa,2503,AfD,0.26
2025-12-09,INSA,2007,CDUCSU,0.245
2025-12-09,INSA,2007,AfD,0.265
2025-12-10,Verian,1443,CDUCSU,0.25
2025-12-10,Verian,1443,AfD,0.25
2025-12-11,Allensbach,1029,CDUCSU,0.27
2025-12-11,Allensbach,1029,AfD,0.25
2025-12-12,Forschungsgruppe Wahlen,1295,CDUCSU,0.26
2025-12-12,Forschungsgruppe Wahlen,1295,AfD,0.25
2025-12-13,INSA,1201,CDUCSU,0.24
2025-12-13,INSA,1201,AfD,0.26
2025-12-16,Forsa,2503,CDUCSU,0.24
2025-12-16,Forsa,2503,AfD,0.26
2025-12-16,INSA,2006,CDUCSU,0.25
2025-12-16,INSA,2006,AfD,0.26
2025-12-17,YouGov,1743,CDUCSU,0.26
2025-12-17,YouGov,1743,AfD,0.26
2025-12-21,INSA,1201,CDUCSU,0.24
2025-12-21,INSA,1201,AfD,0.26
2025-12-23,Forsa,2003,CDUCSU,0.24
2025-12-23,Forsa,2003,AfD,0.26
2025-12-23,INSA,2002,CDUCSU,0.245
2025-12-23,INSA,2002,AfD,0.26
2026-01-03,INSA,1004,CDUCSU,0.25
2026-01-03,INSA,1004,AfD,0.26
2026-01-05,GMS,1027,CDUCSU,0.24
2026-01-05,GMS,1027,AfD,0.27
2026-01-06,INSA,2008,CDUCSU,0.25
2026-01-06,INSA,2008,AfD,0.255
2026-01-08,Infratest dimap,1323,CDUCSU,0.28
2026-01-08,Infratest dimap,1323,AfD,0.25
