storenum,opendate,city,state,lat,lon
1182,1988-03-01,Palm Coast,FL,29.499591,-81.22328
1183,1988-03-01,West Columbia,SC,33.990952,-81.08956
1184,1988-05-03,Stone Mountain,GA,33.817438,-84.13167
1185,1988-06-02,Austin,TX,30.374654,-97.67621
1186,1988-06-30,Liberty,TX,30.066734,-94.76595
1187,1989-04-03,Iola,KS,37.926666,-95.39695
1188,1988-08-16,Saint Ann,MO,38.727184,-90.38551
1189,1988-09-01,Barbourville,KY,36.853913,-83.88501
1190,1988-05-03,Berea,KY,37.575568,-84.27767
1191,1989-06-29,Hillsborough,NC,36.079726,-79.09459
1192,1988-08-16,Magee,MS,31.880229,-89.72086
1193,1988-11-17,Monroe,LA,32.519393,-92.10755
1194,1988-08-16,Oak Ridge,TN,35.992691,-84.27044
1195,1988-11-01,Waveland,MS,30.289646,-89.38349
1196,1989-02-02,New Roads,LA,30.700337,-91.44032
1197,1988-09-01,Rocky Mount,NC,35.973773,-77.82694
1198,1988-10-03,San Antonio,TX,29.649797,-98.50406
1199,1988-04-07,Avon,CO,39.63298,-106.51534
1200,1988-10-03,Colorado Springs,CO,38.851493,-104.77856
1201,1988-08-16,Gardendale,AL,33.67933,-86.8206
1202,1988-08-16,Wisconsin Rapids,WI,44.373468,-89.78761
